surface,count,split_as,phrase_count,example,verdict,note
iathuh,10868,ia thuh,123,,,
iing,7510,i ing,2,,,
thain,6217,tha in,0,,,
iaid,6186,ia id,0,,,
sangma,4969,sang ma,5,,,
assam,4962,as sam,0,,,
wanrah,4604,wan rah,550,,,
eiei,4276,ei ei,1310,,,
iakren,3775,ia kren,2713,,,
iaka,3412,ia ka,85846,,,
iadei,3248,ia dei,1004,,,
jingthmu,2943,jing thmu,72,,,
jongu,2827,jong u,15247,,,
nongpoh,2751,nong poh,10,,,
ialam,2685,ia lam,21,,,
jongki,2642,jong ki,17312,,,
jaitbynriew,2504,jait bynriew,286,,,
jongka,2484,jong ka,40206,,,
treikam,2408,trei kam,895,,,
iakhun,2167,ia khun,1110,,,
kila,2118,ki la,29743,,,
ialade,2076,ia lade,334,,,
iarap,2053,ia rap,5,,,
iaki,1829,ia ki,44621,,,
iakynduh,1824,ia kynduh,2238,,,
haka,1802,ha ka,56392,,,
ialeh,1733,ia leh,193,,,
nongstoi,1623,nong stoi,10,,,
ialehkai,1607,ia lehkai,30,,,
longkmie,1582,long kmie,102,,,
iada,1575,i ada,0,,,
mawlai,1557,maw lai,3,,,
minit,1514,mi nit,0,,,
naiwieng,1509,nai wieng,5,,,
ailad,1330,ai lad,233,,,
pyniap,1314,pyni ap,0,,,
naka,1310,na ka,33418,,,
ophisar,1295,ophis ar,0,,,
nailur,1291,nai lur,0,,,
pyntrei,1254,pyn trei,33,,,
kadei,1239,ka dei,16419,,,
unit,1221,u nit,0,,,
sain,1215,sa in,0,,,
jaidbynriew,1160,jaid bynriew,217,,,
namarba,1144,namar ba,7618,"U Conrad u ba la synran ia la ka kmie bad ka para ban leit thep vote , um shym la ioh ban thep vote ialade namarba u don vote ha Salsella konstitwensi",,
paralok,1136,para lok,8,,,
nailar,1131,nai lar,2,,,
iaiong,1082,ia iong,0,,,
rupang,1072,ru pang,0,,,
tura,1059,tu ra,0,,,
nongthohkhubor,1035,nongthoh khubor,1180,,,
marak,1030,ma rak,0,,,
modi,1022,mo di,0,,,
naitung,1007,nai tung,3,,,
iano,980,ia no,12,,,
pynliem,977,pyn liem,0,,,
ladep,969,la dep,4562,,,
watla,951,wa tla,0,,,
bording,950,bor ding,230,,,
shimkhia,949,shim khia,804,,,
nongkitkam,944,nongkit kam,74,,,
pynthikna,940,pyn thikna,32,,,
bala,938,ba la,16706,,,
nongrum,933,nong rum,3,,,
donkti,931,don kti,234,,,
arngut,924,ar ngut,1318,,,
khaii,912,khai i,0,,,
shimti,904,shim ti,3,,,
jingpyrshah,834,jing pyrshah,132,,,
riewlum,833,riew lum,18,,,
donkupar,807,don kupar,6,,,
member,804,mem ber,0,,,
pynursla,783,pynur sla,0,,,
tangba,767,tang ba,267,Bun bah ki jingkylli ki mih naka bynta ka kam Lamphang. Tangba la katta ruh ym don kawei ka jubab ka ban pynjan ia u Paid bah. Skhem Lyngdoh skhemlyngdih@gmail.,,
iashim,767,ia shim,563,,,
khristan,751,khrist an,0,,,
phone,734,pho ne,0,,,
umsning,726,um sning,2,,,
lapang,724,la pang,9,,,
symbud,683,sym bud,0,,,
thombor,682,thom bor,17,,,
napdeng,670,na pdeng,46,,,
kotkhubor,669,kot khubor,365,,,
kilo,668,ki lo,0,,,
khlain,663,khla in,0,,,
puthi,642,put hi,0,,,
jingrakhe,626,jing rakhe,41,,,
jingiap,614,jingi ap,0,,,
shipor,610,shi por,21,,,
iahap,606,ia hap,71,,,
muda,599,mu da,6,,,
jongngi,599,jong ngi,2962,,,
wahlang,597,wah lang,2,,,
khliehriat,590,khlieh riat,5,,,
warjri,588,war jri,0,,,
rangbahduh,582,rangbah duh,292,,,
iewduh,578,iew duh,6,,,
mairang,574,mai rang,2,,,
kumar,570,ku mar,0,,,
rida,549,ri da,46,,,
nehu,536,ne hu,0,,,
jain,530,ja in,0,,,
mawphlang,522,maw phlang,11,,,
sanbor,520,san bor,0,,,
iakhih,512,ia khih,262,,,
mawkyrwat,510,maw kyrwat,14,,,
donlang,504,don lang,804,,,
kidei,502,ki dei,6532,,,
sabha,502,sa bha,0,,,
manla,498,man la,503,,,
jingpule,496,jing pule,30,,,
road,494,ro ad,0,,,
metiap,492,me tiap,0,,,
kharkongor,491,khar kongor,15,,,
jongphi,490,jong phi,633,,split,"ruled by the project's Khasi speaker: the spaced form is correct (ratio 1.29, under the default)"
ialap,486,ia lap,12,,,
jngohkai,484,jngoh kai,147,,,
kaiphod,481,kai phod,2,,,
jirang,480,ji rang,0,,,
dawki,478,daw ki,113,,,
hindu,476,hin du,0,,,
umroi,473,um roi,0,,,
dorkhas,473,dor khas,0,,,
laitluid,472,lait luid,10,,,
ranikor,467,rani kor,0,,,
pala,463,pa la,5,,,
nongsiej,462,nong siej,2,,,
jemino,459,jem ino,0,,,
rahbor,452,rah bor,37,,,
mawhati,450,maw hati,2,,,
haki,450,ha ki,12940,,,
sohiong,448,soh iong,2,,,
amit,448,am it,0,,,
kapor,446,ka por,13107,,,
muslim,441,mu slim,0,,,
shangpliang,440,shang pliang,4,,,
longing,440,lo nging,0,,,
jingkitkhlieh,438,jing kitkhlieh,25,,,
jingsngewkhia,429,jingsngew khia,109,,,
jingshakri,425,jing shakri,13,,,
synod,421,syn od,0,,,
malki,420,ma lki,0,,,
jingpynshai,415,jing pynshai,39,,,
iadon,415,ia don,374,,,
itynnad,415,i tynnad,5,,,
dewbilat,410,dew bilat,14,,,
pynshisha,406,pyn shisha,6,,,
byrnihat,405,byrni hat,8,,,
buddien,402,bud dien,89,,,
jingia,398,jing ia,1492,,,
pynkhein,396,pyn khein,3,,,
bindo,396,bin do,0,,,
bhalang,393,bha lang,3,,,
dalade,393,da lade,155,,,
hasem,392,ha sem,213,,,
mihkhmat,388,mih khmat,135,,,
katdei,384,kat dei,10,,,
lanosha,384,lano sha,0,,,
tehlakam,381,teh lakam,211,,,
marngar,378,mar ngar,0,,,
shaei,375,sha ei,6,,,
haiing,371,hai ing,0,,,
women,368,wo men,0,,,
rambrai,367,ram brai,4,,,
jingkhynra,367,jing khynra,41,,,
jyrwa,365,jy rwa,0,,,
iasoh,354,ia soh,155,,,
thomas,353,thom as,0,,,
mukhim,352,mu khim,0,,,
iaroh,351,ia roh,2,,,
stadium,351,stad ium,0,,,
liengsuin,347,lieng suin,9,,,
lain,344,la in,0,,,
sabbha,341,sab bha,0,,,
iapher,339,ia pher,61,,,
